uid,register_date,login_duration,login_days,login_count,pay_in_may,pay_to_may,level,churn_or_not
223772923000180,2/27/18,335.069,1,1,0.0,0.0,17,0
455683840000180,2/28/18,6187.946,1,11,144.75,334.27,22,0
96118148000180,2/27/18,1084.006,1,2,0.0,0.0,17,0
276602172000180,2/27/18,593.964,1,2,0.0,0.0,15,0
333524667000180,2/27/18,7624.245,1,2,2434.52,3610.6420000000003,28,0
570603410000180,2/28/18,1250.987,1,2,144.781,468.538,20,0
115853981000172,2/15/18,6057.673000000001,2,10,66.465,172.081,24,0
154295724000172,2/16/18,10531.205,1,4,0.0,0.0,21,0
182687988000173,2/17/18,2069.781,1,1,13.993,60.151,21,0
190403502000159,2/1/18,7810.115,1,6,0.0,0.0,20,0
194279557000172,2/16/18,509.029,1,1,79.023,155.953,19,0
198477730000172,2/16/18,2620.433,1,1,0.0,812.9939999999999,20,0
198795877000172,2/16/18,2791.333,2,2,203.602,691.222,21,0
210865681000159,2/1/18,59.513000000000005,1,1,1.386,1.386,17,0
217255335000159,2/1/18,1500.8029999999999,1,1,815.857,1691.809,24,0
233037694000159,2/1/18,14800.925,2,8,11589.389,15166.851,30,0
24506113000172,2/15/18,18199.288,2,32,703.8919999999999,3773.812,30,0
274144012000159,2/1/18,8815.056,1,6,59.472,143.409,20,0
400486618000172,2/16/18,6741.424,1,13,18.179000000000002,477.81300000000005,23,0
41533455000166,2/8/18,8648.921,1,4,53.151,137.095,19,0
458787924000172,2/16/18,2835.8,1,5,45.465,903.21,24,0
459270417000172,2/16/18,618.706,1,1,0.0,0.0,22,0
47287221000172,2/15/18,10910.68,2,9,0.0,77.658,20,0
484244773000172,2/16/18,2492.913,1,2,18.186,18.186,21,0
486327486000172,2/16/18,1417.693,1,3,0.0,116.088,21,0
542525400000159,2/1/18,2277.397,1,2,0.0,195.83900000000003,23,0
549531580000172,2/16/18,2842.387,1,1,2433.123,9028.768,30,0
564185661000172,2/16/18,5255.036,1,3,8.372,76.895,20,0
595009988000172,2/16/18,214.53099999999998,1,1,1.386,1.386,19,0
600591407000172,2/16/18,1558.293,1,1,147.644,917.329,22,0
600917196000171,2/15/18,9364.826,2,6,49.672,917.182,25,0
608210661000172,2/17/18,14406.803,1,10,1901.8929999999998,5952.107,28,0
609137466000172,2/17/18,10669.83,2,25,250.41099999999997,556.857,24,0
64737964000173,2/17/18,1516.2220000000002,1,6,0.0,0.0,21,0
7176193000172,2/15/18,4440.0109999999995,1,1,526.113,3061.093,26,0
79546227000172,2/15/18,1129.8410000000001,1,3,1.386,15.357999999999999,18,0
80752270000173,2/17/18,1067.014,1,1,0.0,0.0,20,0
977639000172,2/15/18,1460.204,1,3,0.0,0.0,17,0
